danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.521,0.233,7,-13.683,1,0.0254,0.635,0.0,0.245,0.4,78.93,5g3ZD7PmrEQlQZKDW91yGG
0.361,0.219,0,-16.553,1,0.0285,0.563,0.0,0.558,0.26,98.532,1jFhnVoJkcB4lf9tT0rSZS
0.404,0.43,4,-12.327,1,0.224,0.538,0.0,0.0802,0.641,180.061,6ek9SiEj5a65WIs2EV7qiM
0.442,0.52,0,-8.648,1,0.0261,0.184,0.0,0.154,0.177,77.437,15kLz0zNFdtsaJdXKSGmTU
0.457,0.434,7,-10.445,1,0.0366,0.0839,0.00552,0.123,0.0822,180.145,3PqG25cnEC8xQdsO0SkzQF
0.523,0.42,2,-7.128,1,0.0241,0.528,0.0,0.105,0.275,77.981,0kG0KGM2fM7fmGSKNG5TmI
0.448,0.381,0,-8.936,1,0.029,0.756,0.0345,0.0589,0.156,127.644,0n351kL1bolyMfdYhldm0R
0.477,0.277,4,-12.777,1,0.0372,0.718,0.00295,0.104,0.307,146.216,3MXONVadYdMHigMKNm2DlP
0.797,0.415,6,-14.712,1,0.0395,0.467,3.92e-05,0.129,0.841,118.727,7nZCg1jgmXIjSBRifWkmaJ
0.407,0.607,3,-5.867,0,0.0298,0.0484,0.0626,0.102,0.0991,123.894,3z8dDuKmwt5TxE2lXOFlhS
0.513,0.591,1,-6.407,0,0.0274,0.405,0.0,0.126,0.173,130.167,4jh9olf0OKCokpzxSyLeJx
0.658,0.353,11,-9.146,0,0.0326,0.225,2.18e-05,0.151,0.0699,126.934,3mLzGBUpLPfjNBery5CWYn
0.486,0.486,9,-7.103,1,0.029,0.345,0.0,0.139,0.184,128.768,0fJtP2HkuZtzfh30XIMtPw
0.613,0.335,9,-6.791,1,0.0281,0.841,0.000161,0.194,0.245,108.014,5XSU59wtE5CRCAEyHmmGy4
0.583,0.317,9,-13.526,0,0.0276,0.448,0.0991,0.276,0.226,102.033,3Bz7nPZrmgXhEb5M3fpgKC
0.461,0.205,4,-9.002,0,0.0326,0.967,4.07e-06,0.113,0.325,94.331,31SvDaSvLcwvCF4AA1zu4V
0.629,0.451,6,-9.974,1,0.0284,0.852,0.06,0.141,0.681,90.965,2Gsare6GuBE2Ph3zJanNKl
0.578,0.541,8,-13.334,1,0.0291,0.239,0.00028,0.192,0.617,149.841,4YNQilpG3YMaKmBq5pj69O
0.478,0.594,8,-6.98,0,0.0262,0.00431,0.149,0.092,0.388,139.945,3pcn8xZqu6xufhLsPOwHqD
0.807,0.552,4,-6.568,1,0.0333,0.00886,0.000218,0.238,0.783,93.006,2GGskYwS4j8LDMSDUJ8vrl
0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,7jLbTp3qZzah9kMIdW8e5M
0.681,0.461,7,-9.169,1,0.0308,0.571,0.0059,0.0983,0.418,112.461,3NXm9kpdTKKM2GLVDgO5un
0.675,0.347,4,-9.324,1,0.0283,0.643,4.85e-05,0.0816,0.284,109.795,6ppXmhge05dhr6Cz59aEye
0.756,0.8,5,-5.158,1,0.0329,0.211,0.000724,0.0466,0.967,118.924,6xepovPqjvrkEw9Y5AMmTm
0.435,0.901,10,-3.694,0,0.0429,0.000303,0.0072,0.185,0.547,143.646,6RbC38oDCIXD8V2AOU1Tjr
0.77,0.475,7,-9.512,1,0.159,0.0561,4.72e-06,0.0607,0.473,82.511,1ckU1EhAO0Nr73QYw24SWJ
0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,7EZC6E7UjZe63f1jRmkWxt
0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4EchqUKQ3qAQuRNKmeIpnf
0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,0S3gpZzlT9Hb7CCSV2owX7
0.394,0.598,1,-6.537,0,0.0351,0.305,1.22e-06,0.697,0.134,125.417,7K7vAuC6Z6dlgHpQrvbHDC
0.457,0.618,6,-6.682,1,0.0296,0.00114,0.00257,0.0679,0.579,80.184,5WhtlIoxoZrMmuaWWEQhwV
0.693,0.549,6,-8.964,0,0.418,0.625,0.0,0.122,0.645,82.152,6H98N10OCmld8m5XyyulO3
0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,4IRHwIZHzlHT1FQpRa5RdE
0.573,0.59,3,-8.43,1,0.0557,0.667,0.000397,0.691,0.364,108.789,551qy5vUgrUfEUc4dCNfht
0.379,0.0585,9,-13.288,1,0.0433,0.97,0.00386,0.0933,0.181,128.848,4rFShDmPTwa0AaxPdrsUV6
0.34,0.478,9,-7.189,1,0.0272,0.0733,0.0,0.163,0.416,88.442,5zfHlLIPXOsH5iHE9bNoGd
0.644,0.247,7,-14.171,0,0.0304,0.773,1.67e-05,0.0835,0.345,121.298,2wC82IHj6GcFhHM6t6do6A
0.514,0.584,5,-13.049,1,0.042,0.0698,0.000183,0.205,0.557,114.145,1mSzuXVjjKC0bPh6iG6xjy
0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,7iN1s7xHE4ifF5povM6A48
0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3CRDbSIZ4r5MsZ0YwxuEkn
0.454,0.655,6,-8.725,1,0.0284,0.00677,0.00147,0.106,0.0902,100.04,2KpILfzJhRkvHV4M64PL5v
0.65,0.531,4,-8.335,1,0.0364,0.457,0.0,0.249,0.487,78.946,2aBxt229cbLDOvtL7Xbb9x
0.719,0.435,5,-9.358,1,0.0856,0.149,0.0,0.261,0.582,76.67,6om52tevyqVMvl1mWTtKPM
0.518,0.254,7,-10.377,1,0.0281,0.222,0.000858,0.136,0.136,89.911,3DDeQ8TedL00TiIV5NmFrn
0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,4JiEyzf0Md7KEFFGWDDdCr
0.339,0.218,2,-15.88,0,0.0356,0.68,0.000374,0.0871,0.0691,99.77,5hO2SJYP4vsO6h7ms8Rvyg
0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p
0.694,0.463,2,-11.187,1,0.0279,0.511,1.62e-05,0.105,0.579,114.831,29b70iOlgRkYQ8ZzINZXph
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L
0.469,0.393,7,-9.968,1,0.0348,0.843,0.0,0.168,0.601,120.066,6VuO6xcpSeeLfqBo4ePbkw
0.434,0.304,2,-10.799,0,0.0473,0.841,0.792,0.1,0.108,66.486,3OQEVjVEQ6CvfAJ6XhTs6c
0.72,0.521,7,-12.468,1,0.0302,0.705,0.36,0.214,0.823,106.055,0IWtEFQBwRHaMXZQtGEVcM
0.487,0.279,6,-11.586,0,0.0265,0.647,0.00185,0.11,0.162,139.362,6kyxQuFD38mo4S3urD2Wkw
0.53,0.59,11,-9.169,1,0.025,0.183,0.00227,0.0675,0.43,144.202,2MAVcVr2oylw2OZ3hojWYj
0.772,0.717,9,-4.413,0,0.0609,0.0717,0.0228,0.102,0.632,94.99,2VSwBNYoMVcnMuo3b0q880
0.788,0.635,8,-2.922,1,0.135,0.0993,9.9e-06,0.292,0.601,141.019,35Y18Dv2pAiJ7v0Zou9gxI
0.639,0.795,10,-5.927,1,0.0655,0.034,0.0,0.179,0.939,171.378,6uP1ltEgH9Na7C1AkxJTvF
0.619,0.781,5,-7.456,0,0.0393,0.0245,0.000293,0.402,0.533,126.266,0MteK167vtyb6hoJNC3Uz3
0.512,0.477,2,-9.912,0,0.0311,0.026,4.84e-05,0.11,0.174,120.04,2X8dkNEf1T36Wp8pmRY8Vi
0.691,0.496,7,-7.45,0,0.0708,0.531,0.0,0.145,0.368,81.031,748wgFiJ7NrEH11UvOyzns
0.631,0.804,7,-5.492,1,0.166,0.00589,0.00116,0.16,0.671,79.898,1ng36571Iyov4HBxUClySn
0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,1qDrWA6lyx8cLECdZE7TV7
0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,0xmjwnQ3FNE6HuWCt2nHdZ
0.738,0.541,1,-5.485,1,0.0311,0.559,0.0,0.0492,0.309,134.187,7ziHnshbknkpFLDW5yGBjO
0.362,0.258,7,-9.655,1,0.0315,0.0165,0.00714,0.231,0.133,77.021,7g5qe8VITjr13RIe8uM2p6
0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,0cKk8BKEi7zXbdrYdyqBP5
0.617,0.335,1,-8.114,1,0.0303,0.385,2.37e-05,0.126,0.115,109.577,2YwiE0KVhqwIiT4OfT0SFk
0.52,0.468,4,-11.95,0,0.0338,0.635,0.0179,0.206,0.368,91.481,05oOCVsQb2Gi8JVrjvhAwo
0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,4VUwkH455At9kENOfzTqmF
0.67,0.776,9,-5.874,1,0.0356,0.0184,0.00294,0.128,0.703,130.128,5RYLa5P4qweEAKq5U1gdcK
